monarchrunid,monarchlocationid,behaviorclassification,duration,locationn,locatione,surface,landcoverclassification
17230a,17230a01,release,0:00:45,4668591.425,613089.56,vegetative wild bergamot,sod
17230a,17230a02,fly,0:00:03,na,na,air,sod
17230a,17230a03,rest,0:00:45,4668611.118,613094.116,grass,sod
17230a,17230a04,fly,0:00:03,na,na,air,sod
17230a,17230a05,fly,0:00:01,4668897.901,613184.445,air - cross edge,edge
17234a,17234a01,release,0:12:00,4668702.366,613141.14,vegetative wild bergamot,sod
17235a,17235a01,release,0:00:30,4668702.366,613141.14,vegetative wild bergamot,sod
17235a,17235a02,fly,0:00:03,na,na,air,sod
17235a,17235a03,rest,0:01:00,4668701.279,613142.593,grass,sod
17235a,17235a04,fly,0:00:03,na,na,air,sod
17235a,17235a05,rest,0:00:30,4668699.99,613143.834,grass,sod
17235a,17235a06,fly,0:00:03,na,na,air,sod
17235a,17235a07,rest,0:00:30,4668698.759,613146.127,grass,sod
17235a,17235a08,fly,0:00:03,na,na,air,sod
17235a,17235a09,rest,0:00:40,4668695.658,613146.577,grass,sod
17235a,17235a10,fly,0:00:03,na,na,air,sod
17235a,17235a11,rest,0:00:30,4668693.507,613148.849,grass,sod
17235a,17235a12,fly,0:00:03,na,na,air,sod
17235a,17235a13,rest,0:00:45,4668690.74,613150.82,grass,sod
17235a,17235a14,fly,0:00:03,na,na,air,sod
17235a,17235a15,rest,0:00:45,4668685.436,613152.365,grass,sod
17235a,17235a16,fly,0:00:03,na,na,air,sod
17235a,17235a17,rest,0:00:30,4668679.269,613154.215,grass,sod
17237a,17237a01,release,0:00:20,4668702.366,613141.14,vegetative wild bergamot,sod
17237a,17237a02,fly,0:00:03,na,na,air,sod
17237a,17237a03,rest,0:10:00,4668700.85,613141.48,grass,sod
17244a,17244a01,release,0:00:03,4668690.674,613158.255,vegetative wild bergamot,sod
17244a,17244a02,fly,0:00:03,na,na,air,sod
17244a,17244a03,rest,0:02:30,4668696.02,613154.348,grass,sod
17246a,17246a01,release,0:06:00,4668702.366,613141.14,vegetative wild bergamot,sod
17246a,17246a02,fly,0:00:03,na,na,air,sod
17246a,17246a03,rest,0:00:01,4668683.051,613139.93,grass,sod
17247a,17247a01,release,0:00:10,4668702.366,613141.14,vegetative wild bergamot,sod
17247a,17247a02,fly,0:00:25,na,na,air,sod
17247a,17247a03,fly,0:00:01,4668605.411,613136.55,air,sod
17248a,17248a01,release,0:10:00,4668690.674,613158.255,vegetative wild bergamot,sod
17251a,17251a01,release,0:01:00,4668702.366,613141.14,vegetative wild bergamot,sod
17251a,17251a02,fly,0:00:03,na,na,air,sod
17251a,17251a03,rest,0:00:01,4668691.441,613140.64,grass,sod
17253a,17253a01,release,0:00:10,4668690.674,613158.255,vegetative wild bergamot,sod
17253a,17253a02,fly,0:01:35,na,na,air,sod
17253a,17253a03,fly,0:00:01,4668892.729,613064.097,air - cross edge,edge
17254a,17254a01,release,0:00:15,4668690.674,613158.255,vegetative wild bergamot,sod
17254a,17254a02,fly,0:00:13,na,na,air,sod
17254a,17254a03,rest,0:00:01,4668703.801,613143.91,grass,sod
17261a,17261a01,release,0:00:10,4668690.674,613158.255,vegetative wild bergamot,sod
17261a,17261a02,fly,0:00:03,na,na,air,sod
17261a,17261a03,rest,0:00:10,4668690.65,613156.017,grass,sod
17261a,17261a04,fly,0:00:03,na,na,air,sod
17261a,17261a05,rest,0:00:10,4668691.71,613154.515,grass,sod
17261a,17261a06,fly,0:00:03,na,na,air,sod
17261a,17261a07,rest,0:02:15,4668693.732,613146.785,grass,sod
17261a,17261a08,fly,0:00:03,na,na,air,sod
17261a,17261a09,rest,0:01:00,4668697.271,613147.272,grass,sod
17261a,17261a10,fly,0:00:03,na,na,air,sod
17261a,17261a11,rest,0:00:01,4668707.421,613143.737,grass,sod
17262a,17262a01,release,0:00:13,4668690.674,613158.255,vegetative wild bergamot,sod
17262a,17262a02,fly,0:00:03,na,na,air,sod
17262a,17262a03,rest,0:10:00,4668689.996,613157.274,grass,sod
17283a,17283a01,release,0:00:10,4668668.56,613167.033,vegetative wild bergamot,sod
17283a,17283a02,fly,0:02:00,na,na,air,na
17283a,17283a03,fly,0:00:01,4668892.367,612601.224,air - cross edge,edge
17284a,17284a01,release,0:01:20,4668668.56,613167.033,vegetative wild bergamot,sod
17284a,17284a02,fly,0:00:03,na,na,air,sod
